Fatal_Accident_Index,Month_of_Accident,Hour_of_Accident,Longitude,Latitude,Pedestrian_Casualties,Pedal_Cycles,Motor_Cycles,Cars,Buses_or_Coaches,Vans,HGVs,Other_Vehicles,Total_Vehicles_Involved,Fatal_Casualties,Serious_Casualties,Slight_Casualties,Total_Number_of_Casualties
"200601TC00027",February  ,16,-0.010321,51.507209,0,0,0,3,0,0,0,0,3,2,0,1,3
"200601TC00030",February  ,07,-0.111457,51.667961,0,0,0,2,0,0,0,0,2,1,2,0,3
"200601TC00036",February  ,16,-0.072493,51.573985,1,0,0,1,0,0,0,0,1,1,0,0,1
"200601TC00045",February  ,18,-0.056007,51.557885,1,0,0,1,0,0,0,0,1,1,0,0,1
"200601TC00051",February  ,22,-0.03294,51.64437,0,0,0,3,0,0,0,0,3,2,0,2,4
"200601TC00061",March     ,10,0.115959,51.542319,1,0,0,1,0,0,0,0,1,1,0,0,1
"200601TC00071",March     ,04,0.043411,51.577599,1,0,0,2,0,0,0,0,2,1,0,0,1
"200601TC00085",March     ,23,-0.029888,51.608079,0,0,0,2,0,0,0,0,2,1,0,1,2
"200601TC00091",March     ,03,-0.052547,51.675902,0,0,0,1,0,0,0,0,1,1,3,0,4
"200601TC00099",April     ,13,0.077067,51.590857,1,0,0,1,0,0,0,0,1,1,0,0,1
"200601TC00117",April     ,17,0.000761,51.543082,1,0,0,1,0,0,0,0,1,1,0,0,1
"200601TC00125",May       ,01,-0.08011,51.574739,0,0,0,3,0,1,0,0,4,1,1,0,2
"200601TC00131",May       ,19,-0.125164,51.675735,0,0,1,1,0,0,0,0,2,1,1,0,2
"200601TC00137",May       ,08,0.117233,51.532494,1,0,0,0,0,0,1,0,1,1,0,0,1
"200601TC00142",May       ,00,-0.057993,51.599285,0,0,1,2,0,0,0,0,3,1,0,0,1
"200601TC00144",May       ,14,-0.075435,51.548763,0,1,0,0,0,0,1,0,2,1,0,0,1
"200601TC00148",May       ,12,-0.133562,51.647362,1,0,0,1,0,0,0,0,1,1,0,0,1
"200601TC00155",June      ,20,0.137932,51.531129,2,0,0,2,0,0,0,0,2,1,0,1,2
"200601TC00165",June      ,22,-0.003027,51.509244,1,0,0,1,0,0,0,0,1,1,0,0,1
"200601TC00166",June      ,13,-0.03669,51.637869,0,0,1,0,0,0,1,0,2,1,0,0,1
"200601TC00169",June      ,09,-0.062445,51.640545,0,0,0,2,0,0,0,0,2,1,0,0,1
"200601TC00192",July      ,15,0.03877,51.541618,1,0,0,1,0,0,0,0,1,1,0,0,1
"200601TC00207",July      ,18,0.225387,51.50612,0,0,0,1,0,1,0,0,2,1,2,0,3
"200601TC00208",July      ,20,-0.019789,51.524816,0,1,0,2,0,0,0,0,3,1,0,0,1
"200601TC00237",August    ,18,-0.056655,51.62723,1,0,0,0,1,0,0,0,1,1,0,0,1
"200601TC00244",August    ,22,0.100227,51.576506,1,0,0,2,0,0,0,0,2,1,0,0,1
"200601TC00249",August    ,10,0.122651,51.562163,1,0,0,1,0,0,0,0,1,1,0,0,1
"200601TC00254",August    ,03,0.279988,51.580794,0,0,0,1,0,0,0,0,1,3,3,0,6
"200601TC00271",September ,15,0.086454,51.5531,1,0,0,1,0,0,0,0,1,1,0,0,1
"200601TC00273",September ,10,-0.054202,51.546075,0,1,0,1,0,0,1,0,3,1,0,0,1
"200601TC00284",September ,00,-0.109729,51.61218,1,0,0,1,0,0,0,0,1,1,0,0,1
"200601TC00288",October   ,06,-0.070381,51.685099,0,0,0,1,0,0,0,0,1,1,1,0,2
"200601TC00291",September ,23,-0.07596,51.655874,1,0,0,2,0,0,0,0,2,1,0,1,2
"200601TC00294",October   ,06,-0.132957,51.612821,0,0,1,1,0,1,1,0,4,1,0,0,1
"200601TC00297",October   ,18,-0.133845,51.612296,0,0,1,1,0,1,0,0,3,1,0,0,1
"200601TC00301",October   ,17,-0.074529,51.518983,1,0,0,0,0,0,1,0,1,1,0,0,1
"200601TC00314",October   ,00,-0.060672,51.644832,0,0,0,2,0,0,0,0,2,1,0,0,1
"200601TC00318",October   ,22,-0.062297,51.640632,0,0,0,2,0,0,0,0,2,1,0,0,1
"200601TC00324",October   ,12,0.052292,51.576095,0,0,0,2,0,0,0,0,2,1,0,1,2
"200601TC00329",November  ,13,-0.063389,51.682825,0,0,0,2,0,0,2,0,4,1,0,2,3
"200601TC00336",November  ,16,0.026136,51.542916,0,1,0,1,0,0,0,0,2,1,0,0,1
"200601TC00378",December  ,19,-0.007677,51.511661,0,0,1,1,0,0,1,0,3,1,0,0,1
"200601TC00384",December  ,12,-0.030271,51.655926,1,0,0,0,0,0,1,0,1,1,1,0,2
"200601TC09072",October   ,01,0.159751,51.562565,0,0,0,2,0,0,0,0,2,1,0,0,1
"200601TD00006",January   ,17,0.1224,51.358204,0,0,0,2,0,0,0,0,2,1,2,0,3
"200601TD00007",January   ,20,-0.071837,51.415431,0,0,0,1,1,0,0,0,2,1,4,0,5
"200601TD00013",January   ,14,0.117591,51.344262,0,0,1,0,0,0,0,0,1,1,0,0,1
"200601TD00016",January   ,23,0.044608,51.401496,0,0,0,1,0,0,0,0,1,1,1,0,2
"200601TD00030",February  ,19,0.030562,51.392747,1,0,0,1,0,0,0,0,1,1,0,0,1
"200601TD00047",March     ,11,0.051556,51.485999,1,0,0,2,0,0,0,0,2,2,3,1,6
"200601TD00061",March     ,14,0.069042,51.410869,0,0,1,0,0,0,0,0,1,1,0,0,1
"200601TD00071",February  ,13,0.021108,51.426095,1,0,0,1,0,0,0,0,1,1,0,0,1
"200601TD00073",April     ,06,-0.066537,51.34331,0,0,0,6,0,0,0,0,6,1,1,1,3
"200601TD00074",March     ,20,0.030292,51.464516,0,0,1,0,0,0,0,0,1,1,0,0,1
"200601TD00085",April     ,23,0.083271,51.429683,0,0,0,1,0,0,0,0,1,1,0,0,1
"200601TD00089",April     ,21,0.051115,51.431239,1,0,0,1,0,0,0,0,1,1,0,0,1
"200601TD00091",April     ,21,0.168337,51.442708,0,0,0,1,0,0,0,0,1,1,0,2,3
"200601TD00100",May       ,02,0.051611,51.442292,0,0,0,1,0,1,0,0,2,2,0,2,4
"200601TD00108",May       ,14,-0.067779,51.347917,1,0,0,1,0,0,0,0,1,1,1,2,4
"200601TD00130",June      ,13,-0.099783,51.379646,1,0,0,0,0,0,1,0,1,1,0,0,1
"200601TD00131",June      ,10,-0.115802,51.507333,1,0,0,0,1,0,0,0,1,1,0,0,1
"200601TD00149",June      ,18,-0.10162,51.481025,1,0,0,1,0,0,0,0,1,1,0,0,1
"200601TD00163",July      ,09,0.054747,51.29403,0,0,1,0,0,0,0,0,1,1,0,0,1
"200601TD00188",July      ,23,0.050311,51.438987,1,0,0,1,0,0,0,0,1,1,0,0,1
"200601TD00191",July      ,00,-0.077983,51.419758,1,0,0,0,1,0,0,0,1,1,0,0,1
"200601TD00193",July      ,23,0.086558,51.489158,1,0,0,1,0,0,0,0,1,1,0,0,1
"200601TD00207",July      ,23,0.099848,51.436671,0,1,0,0,0,1,0,0,2,1,0,0,1
"200601TD00214",August    ,17,0.120036,51.434509,0,0,1,2,0,0,0,0,3,1,0,1,2
"200601TD00222",August    ,19,-0.070444,51.445084,1,0,1,0,0,0,0,0,1,1,0,0,1
"200601TD00230",August    ,00,-0.051681,51.426069,1,0,0,2,0,0,0,0,2,1,0,1,2
"200601TD00237",September ,23,-0.094498,51.486036,1,0,1,0,0,0,0,0,1,1,0,1,2
"200601TD00245",September ,01,-0.111639,51.496475,0,0,0,2,0,0,0,0,2,1,2,2,5
"200601TD00246",July      ,03,-0.142332,51.350922,0,0,1,0,0,0,0,0,1,1,0,0,1
"200601TD00254",September ,12,-0.114795,51.343018,0,0,0,2,0,0,0,0,2,1,3,0,4
"200601TD00255",September ,21,-0.001143,51.420541,0,1,0,1,0,0,0,0,2,1,1,1,3
"200601TD00264",September ,19,-0.064412,51.478798,0,0,1,1,0,0,0,0,2,1,0,0,1
"200601TD00294",September ,09,-0.102033,51.422489,1,0,0,1,0,0,0,0,1,1,0,0,1
"200601TD00295",September ,11,0.087824,51.450645,0,0,0,0,1,0,0,0,1,1,0,0,1
"200601TD00314",October   ,13,-0.067778,51.487757,2,0,0,1,0,0,0,0,1,1,1,0,2
"200601TD00315",October   ,13,-0.086246,51.369983,1,0,1,0,0,0,0,0,1,1,1,0,2
"200601TD00316",October   ,15,0.071783,51.468287,0,0,1,0,0,1,0,0,2,1,0,0,1
"200601TD00319",November  ,08,0.115739,51.487826,0,0,1,1,0,0,0,0,2,1,0,1,2
"200601TD00322",October   ,00,0.017728,51.486496,0,0,0,0,0,0,1,0,1,1,0,0,1
"200601TD00329",December  ,09,-0.066247,51.466059,1,0,0,0,0,0,1,0,1,1,0,0,1
"200601TD00342",December  ,19,-0.066513,51.463185,1,0,0,0,1,0,0,0,1,1,0,0,1
"200601TD00343",November  ,23,-0.025095,51.385425,0,0,0,1,0,0,0,0,1,1,1,0,2
"200601TD00345",December  ,17,-0.129525,51.464298,1,0,1,0,0,0,0,0,1,1,0,0,1
"200601TD00353",December  ,17,-0.130694,51.425108,0,0,0,0,1,0,0,0,1,1,0,0,1
"200601TD00358",December  ,04,-0.095227,51.45817,0,0,0,3,0,0,0,0,3,2,2,1,5
"200601TD00366",December  ,13,0.048722,51.451695,0,0,0,5,0,1,0,0,6,1,0,0,1
"200601TD09019",December  ,07,0.119267,51.41168,0,0,1,1,0,0,0,0,2,1,0,1,2
"200601TD09038",December  ,02,0.070177,51.47416,0,0,0,2,0,0,0,0,2,1,0,1,2
"200601TD09039",December  ,20,-0.127453,51.328382,0,0,1,1,0,1,0,0,3,1,0,0,1
"200601TD09061",December  ,18,0.048706,51.451336,1,0,0,2,0,0,0,0,2,1,0,0,1
"200601TD09071",December  ,01,0.112822,51.412247,0,0,0,0,0,1,0,0,1,1,1,0,2
"200601TE00005",January   ,08,-0.387078,51.439888,0,0,1,1,0,0,0,0,2,1,1,0,2
"200601TE00006",January   ,03,-0.137022,51.350837,0,0,0,1,0,0,0,0,1,1,2,0,3
"200601TE00016",January   ,09,-0.118383,51.50063,0,1,0,1,0,0,0,0,2,1,0,0,1
"200601TE00023",February  ,17,-0.23969,51.399907,1,0,0,0,0,1,0,0,1,1,0,0,1
"200601TE00025",January   ,22,-0.105452,51.437202,1,0,0,0,0,0,1,0,1,1,0,0,1
"200601TE00027",February  ,00,-0.450814,51.495331,0,0,1,1,0,0,0,0,2,1,1,0,2
"200601TE00028",February  ,10,-0.292347,51.491422,1,0,0,0,0,0,1,0,1,1,0,0,1
"200601TE00034",February  ,12,-0.370054,51.416901,1,0,0,0,0,1,0,0,1,1,0,0,1
"200601TE00043",February  ,00,-0.190494,51.45887,2,0,1,0,0,0,0,0,1,1,2,0,3
"200601TE00046",February  ,13,-0.235275,51.514497,1,0,0,1,0,0,0,0,1,1,0,0,1
"200601TE00054",February  ,06,-0.224423,51.434029,0,0,1,0,0,1,0,0,2,1,1,0,2
"200601TE00082",March     ,11,-0.303087,51.411634,0,1,0,0,0,1,0,0,2,1,0,0,1
"200601TE00088",March     ,22,-0.113647,51.482748,0,0,0,3,0,0,0,0,3,1,1,1,3
"200601TE00096",March     ,18,-0.235599,51.446428,0,0,1,1,0,0,0,0,2,1,0,0,1
"200601TE00097",March     ,17,-0.205162,51.488591,0,1,1,0,0,0,0,0,2,1,0,1,2
"200601TE00098",April     ,19,-0.198961,51.45954,0,0,1,0,0,0,0,0,1,1,1,0,2
"200601TE00115",April     ,12,-0.319786,51.485614,0,0,1,0,0,0,0,0,1,1,0,0,1
"200601TE00116",April     ,01,-0.153731,51.456678,0,0,0,1,0,0,0,0,1,1,1,0,2
"200601TE00119",April     ,22,-0.339872,51.495702,0,0,0,1,0,0,0,0,1,1,1,2,4
"200601TE00123",April     ,17,-0.306928,51.490554,0,1,0,0,0,1,0,0,2,1,0,0,1
"200601TE00135",May       ,09,-0.328547,51.470541,1,0,0,1,0,0,0,0,1,1,0,0,1
"200601TE00144",May       ,10,-0.167098,51.460754,1,0,0,0,0,0,1,0,1,1,0,0,1
"200601TE00156",June      ,00,-0.336603,51.482616,1,0,0,1,0,0,0,0,1,1,0,0,1
"200601TE00210",August    ,14,-0.18918,51.415684,1,0,1,0,0,0,0,0,1,1,0,1,2
"200601TE00213",August    ,10,-0.387718,51.442144,0,0,1,1,0,0,0,0,2,1,0,0,1
"200601TE00214",August    ,00,-0.235918,51.404527,0,0,0,1,0,0,0,0,1,1,1,0,2
"200601TE00222",August    ,19,-0.168347,51.443957,0,0,1,2,0,0,0,0,3,1,0,0,1
"200601TE00228",September ,20,-0.235426,51.51432,1,0,1,0,0,0,0,0,1,1,1,1,3
"200601TE00231",September ,22,-0.414413,51.456627,1,0,0,1,1,0,0,0,2,1,0,0,1
"200601TE00240",September ,17,-0.165525,51.438967,1,0,0,1,0,0,0,0,1,1,0,0,1
"200601TE00243",September ,04,-0.226317,51.515082,0,0,0,1,0,0,0,0,1,1,2,0,3
"200601TE00266",September ,12,-0.199136,51.480675,1,0,0,1,0,0,0,0,1,1,0,0,1
"200601TE00269",October   ,21,-0.213294,51.490604,0,1,0,1,0,0,0,0,2,1,0,0,1
"200601TE00273",October   ,15,-0.296872,51.373774,0,0,1,0,0,0,0,0,1,2,0,0,2
"200601TE00274",October   ,02,-0.342216,51.474782,1,0,0,1,0,0,0,0,1,1,0,0,1
"200601TE00275",October   ,17,-0.413023,51.480078,1,0,0,1,0,0,0,0,1,1,0,0,1
"200601TE00279",October   ,10,-0.434283,51.452218,1,0,0,1,0,0,0,0,1,1,0,0,1
"200601TE00302",November  ,02,-0.237067,51.471809,0,0,0,1,0,0,0,0,1,2,1,0,3
"200601TE00323",December  ,03,-0.304582,51.437284,0,0,0,2,0,0,0,0,2,1,3,0,4
"200601TE00328",December  ,18,-0.298983,51.491159,1,0,0,1,0,0,0,0,1,1,0,1,2
"200601TE00334",December  ,14,-0.207993,51.397988,0,0,0,3,0,0,0,0,3,1,0,0,1
"200601TE00337",December  ,03,-0.236114,51.466669,0,0,0,1,0,0,0,0,1,1,0,0,1
"200601TE09070",December  ,22,-0.307152,51.457285,1,0,0,0,1,0,0,0,1,1,0,0,1
"200601TE09079",February  ,14,-0.365997,51.526553,0,0,0,0,1,0,0,0,1,1,0,0,1
"2006030000177",January   ,11,-3.160685,54.825712,1,0,0,0,0,0,1,0,1,1,0,1,2
"2006030000183",January   ,23,-2.884897,54.863175,0,0,0,3,0,0,0,0,3,2,0,1,3
"2006030000248",February  ,09,-2.88268,54.382193,0,0,0,3,0,0,0,0,3,1,0,1,2
"2006030000295",February  ,07,-2.634185,54.96054,0,0,0,1,0,0,1,0,2,1,0,1,2
"2006030000413",February  ,19,-2.908201,54.728377,0,0,0,1,0,0,0,0,1,1,0,0,1
"2006030000451",February  ,14,-2.758782,54.659934,3,0,0,1,0,1,0,0,2,1,0,2,3
"2006030000647",March     ,15,-3.384027,54.313311,0,0,0,2,0,1,1,0,4,2,1,0,3
"2006030000740",March     ,15,-2.665397,54.285262,0,0,0,2,0,0,0,0,2,1,0,2,3
"2006030000976",April     ,13,-2.506345,54.64238,0,0,1,0,0,0,0,0,1,1,0,0,1
"2006030001021",April     ,13,-2.918799,54.393068,0,0,0,3,0,0,0,0,3,1,2,0,3
"2006030001089",April     ,17,-2.26034,54.530102,0,0,0,2,0,0,0,0,2,1,1,1,3
"2006030001248",May       ,14,-2.902433,54.887939,0,0,1,1,0,0,0,0,2,1,0,0,1
"2006030001299",May       ,09,-3.206254,54.111009,1,0,0,1,0,0,0,0,1,1,0,0,1
"2006030001405",May       ,08,-3.519112,54.61207,0,0,1,1,0,0,0,0,2,1,0,0,1
"2006030001492",June      ,19,-2.72211,54.278285,0,0,2,0,0,0,0,1,3,1,0,2,3
"2006030001503",June      ,08,-2.203706,54.514483,0,0,0,1,0,0,0,2,3,1,0,1,2
"2006030001613",June      ,11,-2.770271,54.324184,0,0,0,2,0,0,0,0,2,1,0,2,3
"2006030001629",June      ,14,-2.779222,54.723523,0,0,0,2,0,0,0,0,2,6,1,0,7
"2006030001731",June      ,12,-3.553881,54.516625,0,0,1,0,1,0,0,0,2,1,0,1,2
"2006030001795",July      ,20,-2.730395,54.373234,0,0,1,0,0,0,0,0,1,1,0,0,1
"2006030001810",July      ,11,-2.388229,54.767823,0,0,1,0,0,0,0,0,1,1,0,0,1
"2006030001884",July      ,04,-2.911491,54.874841,0,0,0,1,0,1,0,0,2,2,0,0,2
"2006030001977",July      ,11,-2.793253,54.750303,0,0,2,0,0,0,0,0,2,1,0,0,1
"2006030002119",July      ,14,-3.449905,54.520882,0,1,0,0,0,0,0,0,1,1,0,0,1
"2006030002142",July      ,23,-2.881261,54.860775,0,0,0,3,0,0,0,0,3,1,3,0,4
"2006030002183",August    ,15,-2.767176,54.281782,1,0,0,1,0,0,0,0,1,1,0,0,1
"2006030002199",August    ,00,-2.608991,54.70904,0,0,0,2,0,0,0,0,2,2,1,0,3
"2006030002422",August    ,09,-3.5598,54.521941,0,0,0,3,0,0,0,0,3,2,2,3,7
"2006030002423",August    ,00,-3.117758,54.606914,0,0,0,1,0,0,0,0,1,1,0,0,1
"2006030002425",August    ,14,-3.359918,54.7974,0,0,2,1,0,0,0,0,3,1,1,1,3
"2006030002437",August    ,19,-2.385503,54.808092,0,0,1,1,0,0,0,0,2,1,0,0,1
"2006030002465",September ,04,-3.048066,54.243716,0,0,0,1,0,0,0,0,1,1,2,0,3
"2006030002602",September ,15,-3.185099,54.109422,0,0,1,1,0,0,0,1,3,1,1,0,2
